movie_name,release_date,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,domestic_box_office_usd,international_box_office_usd,worldwide_box_office_usd,opening_weekend_usd,legs,infl_adj_dom_bo_usd,mpaa_rating,running_time_minutes,source,genre,production_method,creative_type,domestic_share_percentage,release_year,release_month,release_quarter,opening_theaters,max_theaters,avg_weeks_per_theater,is_franchise,profit_worldwide,profit_domestic,roi_worldwide,roi_domestic,log_domestic_box_office,log_worldwide_box_office,log_budget,log_opening_weekend,log_opening_theaters,log_max_theaters,imdb_id,imdb_rating,imdb_votes
Boat Trip,2003-03-21,15000000,8586376,14933713,8586376.0,6347337.0,14933713.0,3815075.0,2.25,15350095.0,R,94.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,57.5,2003.0,3.0,1.0,1714.0,1803.0,2.5,0,-66287.0,-6413624.0,0.9955808666666668,0.5724250666666667,15.965687435491247,16.51913189946364,16.52356082573315,15.154471143865308,7.44716835960004,7.497761700622568,,,
The Importance of Being Earnest,2002-05-22,15000000,8378141,8667209,8378141.0,289068.0,8667209.0,398662.0,10.83,15544976.0,PG,97.0,Based on Play,Comedy,Live Action,Historical Fiction,96.7,2002.0,5.0,2.0,38.0,216.0,11.3,0,-6332791.0,-6621859.0,0.5778139333333333,0.5585427333333334,15.941136729498025,15.975057497660258,16.52356082573315,12.895871727457894,3.6635616461296463,5.37989735354046,tt0278500,6.8,"25,047"
The Love Letter,1999-05-21,15000000,8322608,9740481,8322608.0,1417873.0,9740481.0,2692819.0,3.09,17660960.0,PG-13,107.0,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,85.4,1999.0,5.0,2.0,769.0,817.0,5.6,0,-5259519.0,-6677392.0,0.6493654,0.5548405333333334,15.934486345371688,16.09180116104727,16.52356082573315,14.806099529604406,6.646390514847729,6.706862336602747,tt0166252,5.5,"4,756"
Hoot,2006-05-05,15000000,8117637,8224998,8117637.0,107361.0,8224998.0,3368197.0,2.41,13360010.0,PG,91.0,Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,98.7,2006.0,5.0,2.0,3018.0,3018.0,2.4,0,-6775002.0,-6882363.0,0.5483332,0.5411758,15.90954978312261,15.922688733035155,16.52356082573315,15.029888441214949,8.012680929706839,8.012680929706839,tt0453494,5.5,"9,015"
Trumbo,2015-11-06,15000000,7857741,13300181,7857741.0,5442440.0,13300181.0,74177.0,4.87,10020808.0,R,124.0,Based on Real Life Events,Drama,Live Action,Dramatization,59.1,2015.0,11.0,4.0,5.0,1187.0,2.5,0,-1699819.0,-7142259.0,0.8866787333333334,0.5238494,15.877009845779655,16.40328827730888,16.52356082573315,11.214222889234982,1.791759469228055,7.080026499922591,tt3203606,7.4,"86,358"
In Bruges,2008-02-08,15000000,7800825,34509748,7800825.0,26708923.0,34509748.0,457227.0,8.04,11712103.0,R,107.0,Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,22.6,2008.0,2.0,1.0,28.0,232.0,9.8,0,19509748.0,-7199175.0,2.300649866666667,0.520055,15.86974018348898,17.356752421793608,16.52356082573315,13.032937451372264,3.367295829986474,5.4510384535657,tt0780536,7.9,"490,275"
Promised Land,2013-01-04,15000000,7597898,12394562,7597898.0,4796664.0,12394562.0,173915.0,1.88,10198915.0,R,106.0,Original Screenplay,Drama,Live Action,Historical Fiction,61.3,2013.0,1.0,1.0,25.0,1676.0,2.1,0,-2605438.0,-7402102.0,0.8263041333333333,0.5065265333333333,15.84338231966952,16.332768466678242,16.52356082573315,12.066327703010517,3.258096538021482,7.424761761823209,tt3578170,8.0,7
Mulholland Drive,2001-10-08,15000000,7219578,20780568,7219578.0,13560990.0,20780568.0,587591.0,7.52,13679572.0,R,87.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,34.7,2001.0,10.0,4.0,66.0,247.0,9.6,0,5780568.0,-7780422.0,1.3853712,0.4813052,15.792307198919591,16.849528925358644,16.52356082573315,13.283788108485298,4.204692619390966,5.5134287461649825,tt0166924,7.9,"415,244"
Hotel Artemis,2018-06-07,15000000,6708137,13316627,6708137.0,6608490.0,13316627.0,3232790.0,2.08,7937831.0,R,97.0,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction,50.4,2018.0,6.0,2.0,2407.0,2407.0,2.1,0,-1683373.0,-8291863.0,0.8877751333333334,0.4472091333333333,15.718831974164432,16.404524037874694,16.52356082573315,14.98885640877816,7.786551806428712,7.786551806428712,tt5834262,6.1,"61,205"
The Rocker,2008-08-20,15000000,6409528,8767338,6409528.0,2357810.0,8767338.0,2636048.0,2.43,9623220.0,PG-13,102.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,73.1,2008.0,8.0,3.0,2784.0,2784.0,2.3,0,-6232662.0,-8590472.0,0.5844892,0.4273018666666666,15.673296347257986,15.98654389755441,16.52356082573315,14.78479176320263,7.932003152361385,7.932003152361385,tt1031969,6.2,"41,171"
Post Grad,2009-08-21,15000000,6382178,6563402,6382178.0,181224.0,6563402.0,2651996.0,2.41,9173316.0,PG-13,88.0,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,97.2,2009.0,8.0,3.0,1959.0,1959.0,2.5,0,-8436598.0,-8617822.0,0.4375601333333333,0.4254785333333333,15.669020133060968,15.697019776416004,16.52356082573315,14.790823499065532,7.580699752224563,7.580699752224563,tt1142433,5.3,"15,625"
Whatever Works,2009-06-19,15000000,5306706,35106706,5306706.0,29800000.0,35106706.0,266162.0,5.53,7627497.0,PG-13,92.0,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,15.1,2009.0,6.0,2.0,9.0,353.0,4.4,0,20106706.0,-9693294.0,2.3404470666666666,0.3537804,15.48448205018603,17.373902752803218,16.52356082573315,12.491864182044528,2.302585092994046,5.869296913133774,tt1178663,7.1,"78,348"
Los tres entierros de Melquiades Estrada,2005-12-14,15000000,5027684,13454474,5027684.0,8426790.0,13454474.0,23859.0,4.78,8275698.0,R,121.0,Original Screenplay,Western,Live Action,Historical Fiction,37.4,2005.0,12.0,4.0,5.0,356.0,5.8,0,-1545526.0,-9972316.0,0.8969649333333334,0.3351789333333333,15.430470197565056,16.41482232242982,16.52356082573315,10.079958695651907,1.791759469228055,5.877735781779639,,,
"Lust, Caution",2007-09-28,15000000,4604982,65167430,4604982.0,60562448.0,65167430.0,63918.0,7.55,7212618.0,NC-17for some explicit sexuality,158.0,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,7.1,2007.0,9.0,3.0,1.0,143.0,6.4,0,50167430.0,-10395018.0,4.344495333333334,0.3069988,15.342649536025208,17.992470377553058,16.52356082573315,11.065371935762084,0.6931471805599453,4.969813299576001,tt0808357,7.5,"48,088"
The Company Men,2011-01-21,15000000,4444612,4569967,4444612.0,125355.0,4569967.0,647797.0,6.68,6041974.0,R,115.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,97.3,2011.0,1.0,1.0,106.0,277.0,6.2,0,-10430033.0,-10555388.0,0.3046644666666667,0.2963074666666667,15.307203359022855,15.335016760657687,16.52356082573315,13.381334198341952,4.672828834461906,5.627621113690637,,,
"Kiss Kiss, Bang Bang",2005-10-21,15000000,4235837,16829464,4235837.0,12593627.0,16829464.0,180660.0,5.39,7122680.0,R,102.0,Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,25.2,2005.0,10.0,4.0,8.0,226.0,5.1,0,1829464.0,-10764163.0,1.1219642666666667,0.2823891333333333,15.259091741346063,16.63864177718876,16.52356082573315,12.10437762594812,2.1972245773362196,5.424950017481403,tt0373469,7.4,"248,557"
Idle Hands,1999-04-30,15000000,4023741,4024147,4023741.0,406.0,4024147.0,1807181.0,2.23,8538569.0,R,92.0,Original Screenplay,Horror,Live Action,Contemporary Fiction,100.0,1999.0,4.0,2.0,1611.0,1611.0,3.2,0,-10975853.0,-10976259.0,0.2682764666666666,0.2682494,15.207722873398088,15.207823769409424,16.52356082573315,14.407279283926965,7.385230923066573,7.385230923066573,tt0138510,6.3,"49,023"
Scouts Guide to the Zombie Apocalypse,2015-10-29,15000000,3703046,15554855,3703046.0,11851809.0,15554855.0,1841007.0,2.01,4735320.0,R,93.0,Original Screenplay,Comedy,Live Action,Fantasy,23.8,2015.0,10.0,4.0,1509.0,1509.0,2.0,0,554855.0,-11296954.0,1.0369903333333332,0.2468697333333333,15.12466655222676,16.55988343079754,16.52356082573315,14.425823805670197,7.31986492980897,7.31986492980897,tt1727776,6.3,"59,087"
Blood and Chocolate,2007-01-26,15000000,3526588,6551310,3526588.0,3024722.0,6551310.0,2074300.0,1.7,5525666.0,PG-13,98.0,Based on Fiction Book/Short Story,Horror,Live Action,Fantasy,53.8,2007.0,1.0,1.0,1200.0,1200.0,2.6,0,-8448690.0,-11473412.0,0.436754,0.2351058666666666,15.075841672799504,15.695175740255316,16.52356082573315,14.545134787424464,7.0909098220799835,7.0909098220799835,tt0397044,5.3,"18,732"
You Will Meet a Tall Dark Stranger,2010-09-22,15000000,3247816,38535748,3247816.0,35287932.0,38535748.0,160103.0,7.52,4437307.0,R,98.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,8.4,2010.0,9.0,3.0,6.0,402.0,3.4,0,23535748.0,-11752184.0,2.5690498666666666,0.2165210666666666,14.993493636311882,17.467096913880905,16.52356082573315,11.98357888305746,1.9459101490553132,5.998936561946683,tt1182350,6.3,"47,889"
Rock the Kasbah,2015-10-23,15000000,3020665,3386153,3020665.0,365488.0,3386153.0,1470592.0,2.05,3862722.0,R,106.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,89.2,2015.0,10.0,4.0,2012.0,2012.0,2.3,0,-11613847.0,-11979335.0,0.2257435333333333,0.2013776666666666,14.920987894839255,15.035205322034946,16.52356082573315,14.20117627877101,7.607381425639791,7.607381425639791,tt3164256,5.5,"13,236"
Chi-raq,2015-12-04,15000000,2653031,2733397,2653031.0,80366.0,2733397.0,1198453.0,2.21,3390914.0,R,127.0,Based on Play,Drama,Live Action,Contemporary Fiction,97.1,2015.0,12.0,4.0,305.0,305.0,2.4,0,-12266603.0,-12346969.0,0.1822264666666666,0.1768687333333333,14.791213694863943,14.821056081823098,16.52356082573315,13.996542950810024,5.723585101952381,5.723585101952381,tt4594834,5.9,"10,920"
Never Let Me Go,2010-09-15,15000000,2434652,11173718,2434652.0,8739066.0,11173718.0,111734.0,7.04,3326428.0,R,120.0,Based on Fiction Book/Short Story,Drama,Live Action,Science Fiction,21.8,2010.0,9.0,3.0,4.0,232.0,4.0,0,-3826282.0,-12565348.0,0.7449145333333334,0.1623101333333333,14.705314799210536,16.229075061020804,16.52356082573315,11.623885275278486,1.6094379124341005,5.4510384535657,tt1334260,7.1,"158,485"
The Disappointments Room,2016-09-09,15000000,2423467,3503761,2423467.0,1080294.0,3503761.0,1402822.0,1.73,3020222.0,R,91.0,Based on Real Life Events,Horror,Live Action,Contemporary Fiction,69.2,2016.0,9.0,3.0,1554.0,1554.0,2.0,0,-11496239.0,-12576533.0,0.2335840666666666,0.1615644666666666,14.700710130136656,15.06934780635716,16.52356082573315,14.15399719289362,7.349230824613334,7.349230824613334,tt2364897,4.0,"11,457"
The Company,2003-12-25,15000000,2281585,3393606,2281585.0,1112021.0,3393606.0,93776.0,12.73,3976990.0,PG-13,112.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,67.2,2003.0,12.0,4.0,11.0,55.0,11.7,0,-11606394.0,-12718415.0,0.2262404,0.1521056666666666,14.640381373138409,15.0374039254967,16.52356082573315,11.448674902368618,2.4849066497880004,4.02535169073515,tt0335013,6.2,"6,979"
Transsiberian,2008-07-18,15000000,2203641,6379575,2203641.0,4175934.0,6379575.0,34615.0,6.57,3308522.0,R,105.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,34.5,2008.0,7.0,3.0,2.0,154.0,5.7,0,-8620425.0,-12796359.0,0.425305,0.1469094,14.60562200411952,15.668612195432312,16.52356082573315,10.45207128190472,1.0986122886681098,5.043425116919247,tt0800241,6.6,"56,420"
Armageddon Time,2022-09-14,15000000,1872625,99478272,1872625.0,97605647.0,99478272.0,70275.0,2.36,1904201.0,R,114.0,Based on Real Life Events,Drama,Live Action,Dramatization,1.9,2022.0,9.0,3.0,6.0,1006.0,2.1,0,84478272.0,-13127375.0,6.6318848,0.1248416666666666,14.442852281829284,18.41544981647537,16.52356082573315,11.160185625484944,1.9459101490553132,6.914730892718563,tt10343028,6.4,"17,848"
Funny Games,2008-03-14,15000000,1294640,8200127,1294640.0,6905487.0,8200127.0,510958.0,2.53,1943753.0,R,111.0,Remake,Thriller/Suspense,Live Action,Contemporary Fiction,15.8,2008.0,3.0,1.0,274.0,289.0,2.4,0,-6799873.0,-13705360.0,0.5466751333333333,0.0863093333333333,14.073743994605966,15.919660321868747,16.52356082573315,13.144044631133196,5.616771097666572,5.66988092298052,,,
Banlieue 13,2006-06-02,15000000,1200216,11599903,1200216.0,10399687.0,11599903.0,411544.0,2.92,1975316.0,R,84.0,Original Screenplay,Action,Live Action,Science Fiction,10.3,2006.0,6.0,2.0,151.0,151.0,3.3,1,-3400097.0,-13799784.0,0.7733268666666666,0.0800144,13.998012931743183,16.26650738018028,16.52356082573315,12.92767364913491,5.0238805208462765,5.0238805208462765,,,
Felicia's Journey,1999-11-12,15000000,824295,1970268,824295.0,1145973.0,1970268.0,43131.0,6.09,1741574.0,PG-13,107.0,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,41.8,1999.0,11.0,4.0,5.0,49.0,6.3,0,-13029732.0,-14175705.0,0.1313512,0.054953,13.622284967687335,14.49368063961566,16.52356082573315,10.672020460001963,1.791759469228055,3.912023005428146,tt0165773,7.0,"8,500"
Metropolis,2002-01-01,15000000,673414,1405032,673414.0,731618.0,1405032.0,84660.0,7.95,1249467.0,PG-13,107.0,Based on Comic/Graphic Novel,Adventure,Hand Animation,Science Fiction,47.9,2002.0,1.0,1.0,9.0,16.0,9.0,0,-13594968.0,-14326586.0,0.0936688,0.0448942666666666,13.4201170604833,14.15557134801864,16.52356082573315,11.346410325958852,2.302585092994046,2.833213344056216,tt0295526,6.2,640
Cìkè Niè Yinniáng,2015-08-27,15000000,632542,11279884,632542.0,10647342.0,11279884.0,47892.0,8.82,808867.0,Not Rated,104.0,Remake,Drama,Live Action,Historical Fiction,5.6,2015.0,8.0,3.0,4.0,53.0,2.4,0,-3720116.0,-14367458.0,0.7519922666666666,0.0421694666666666,13.357503481462716,16.238531608946758,16.52356082573315,10.776724634932783,1.6094379124341005,3.9889840465642745,,,
The Return,2004-02-06,15000000,501752,5953886,501752.0,5452134.0,5953886.0,19795.0,14.48,870992.0,PG-13,110.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,8.4,2004.0,2.0,1.0,3.0,18.0,11.3,0,-9046114.0,-14498248.0,0.3969257333333333,0.0334501333333333,13.125863245713951,15.599554841540002,16.52356082573315,9.893235176071776,1.3862943611198906,2.9444389791664403,tt21811606,9.7,"2,540"
Buffalo Soldiers,2003-07-18,15000000,353743,1768976,353743.0,1415233.0,1768976.0,30977.0,5.8,632387.0,R,98.0,Based on Fiction Book/Short Story,Comedy,Live Action,Historical Fiction,20.0,2003.0,7.0,3.0,6.0,24.0,5.6,0,-13231024.0,-14646257.0,0.1179317333333333,0.0235828666666666,12.776328766665,14.385911971361526,16.52356082573315,10.341032554107704,1.9459101490553132,3.218875824868201,,,
Steal,2003-04-25,15000000,220944,240025,220944.0,19081.0,240025.0,123087.0,1.8,394979.0,Not Rated,83.0,Original Screenplay,Action,Live Action,Contemporary Fiction,92.1,2003.0,4.0,2.0,125.0,125.0,2.0,0,-14759975.0,-14779056.0,0.0160016666666666,0.0147296,12.305669080748636,12.38850252978983,16.52356082573315,11.720654825698716,4.836281906951478,4.836281906951478,tt0370060,7.8,20
Centurion,2010-08-27,15000000,123570,7885048,123570.0,7761478.0,7885048.0,42826.0,2.89,168826.0,R,97.0,Original Screenplay,Action,Live Action,Historical Fiction,1.6,2010.0,8.0,3.0,12.0,19.0,2.3,0,-7114952.0,-14876430.0,0.5256698666666667,0.008238,11.724571168644596,15.880478992690977,16.52356082573315,10.664924023794766,2.5649493574615367,2.995732273553991,tt1020558,6.3,"89,356"
Ong-Bak 2,2009-10-23,15000000,102458,7583050,102458.0,7480592.0,7583050.0,26564.0,3.86,147266.0,R,107.0,Original Screenplay,Action,Live Action,Contemporary Fiction,1.4,2009.0,10.0,4.0,10.0,12.0,5.2,1,-7416950.0,-14897542.0,0.5055366666666666,0.0068305333333333,11.53721799753926,15.84142618323081,16.52356082573315,10.187349838885044,2.3978952727983707,2.5649493574615367,,,
Midnight Meat Train,2008-08-01,15000000,73548,1590246,73548.0,1516698.0,1590246.0,34394.0,2.14,110420.0,R,100.0,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,4.6,2008.0,8.0,3.0,102.0,102.0,1.8,0,-13409754.0,-14926452.0,0.1060164,0.0049032,11.205707129744088,14.279399908043438,16.52356082573315,10.445666483960114,4.634728988229636,4.634728988229636,tt0805570,6.0,"73,312"
The Son of No One,2011-11-04,15000000,30680,1148578,30680.0,1117898.0,1148578.0,18015.0,1.7,41697.0,R,93.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,2.7,2011.0,11.0,4.0,10.0,10.0,1.4,0,-13851422.0,-14969320.0,0.0765718666666666,0.0020453333333333,10.331398849474123,13.95403608411791,16.52356082573315,9.799015530939418,2.3978952727983707,2.3978952727983707,tt1535612,5.1,"18,179"
Barely Lethal,2015-05-08,15000000,4912,513303,4912.0,508391.0,513303.0,1726.0,2.33,6274.0,PG-13,96.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,1.0,2015.0,5.0,2.0,2.0,22.0,1.1,0,-14486697.0,-14995088.0,0.0342202,0.0003274666666666,8.499640032168648,13.148623541231844,16.52356082573315,7.454141078146678,1.0986122886681098,3.1354942159291497,tt1731701,5.4,"24,193"
Groundhog Day,1993-02-12,14600000,71097843,71112677,71097843.0,14834.0,71112677.0,14652108.0,4.85,184818853.0,PG,102.0,Original Screenplay,Romantic Comedy,Live Action,Fantasy,100.0,1993.0,2.0,1.0,1640.0,1742.0,11.2,0,56512677.0,56497843.0,4.870731301369863,4.869715273972603,18.07956757082566,18.079776191114014,16.496532155171714,16.50009484211061,7.403061091090091,7.463363045520021,tt0107048,8.0,"733,269"
Sound of Freedom,2023-07-04,14500000,184178046,250729678,184178046.0,66551632.0,250729678.0,19680879.0,6.75,184178046.0,PG-13,135.0,Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,73.5,2023.0,7.0,3.0,2952.0,3411.0,7.7,0,236229678.0,169678046.0,17.29170193103448,12.701934206896553,19.03141349444408,19.33988594064496,16.489659276356317,16.79515816403583,7.990576881743923,8.13505390861157,tt7599146,7.6,"136,097"
Magic Mike XXL,2015-07-01,14500000,66013057,123580421,66013057.0,57567364.0,123580421.0,12857184.0,5.13,84415269.0,R,115.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,53.4,2015.0,7.0,3.0,3355.0,3355.0,3.7,1,109080421.0,51513057.0,8.522787655172413,4.552624620689655,18.00536312890612,18.632402692383316,16.489659276356317,16.36941335701163,8.118505067587098,8.118505067587098,tt2268016,5.6,"63,273"
Romeo+Juliet,1996-11-01,14500000,46338728,147542381,46338728.0,101203653.0,147542381.0,11133231.0,4.16,112877035.0,PG-13,120.0,Based on Play,Drama,Live Action,Contemporary Fiction,31.4,1996.0,11.0,4.0,1276.0,1963.0,7.0,1,133042381.0,31838728.0,10.175336620689656,3.195774344827586,17.651488648884115,18.809626028064404,16.489659276356317,16.22544506744099,7.152268856032539,7.582738488914411,tt0117509,6.7,"257,554"
Elle s'appelait Sarah,2011-07-22,14500000,7691700,25480031,7691700.0,17788331.0,25480031.0,115708.0,9.99,10456050.0,PG,106.0,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,30.2,2011.0,7.0,3.0,5.0,319.0,8.5,0,10980031.0,-6808300.0,1.7572435172413794,0.5304620689655173,15.855652513380427,17.053405644554417,16.489659276356317,11.658833697537643,1.791759469228055,5.768320995793772,,,
Unforgiven,1992-08-07,14400000,101157447,159157447,101157447.0,58000000.0,159157447.0,15018007.0,6.74,262946967.0,R,130.0,Original Screenplay,Western,Live Action,Historical Fiction,63.6,1992.0,8.0,3.0,2071.0,2087.0,9.9,0,144757447.0,86757447.0,11.05260048611111,7.024822708333334,18.432188752085228,18.88540450921501,16.48273883399067,16.524760572335925,7.636269603379373,7.643961949002529,tt0105695,8.2,"465,109"
Manderlay,2006-01-27,14200000,74205,543306,74205.0,469101.0,543306.0,15117.0,4.91,122127.0,Not Rated,107.0,Original Screenplay,Drama,Live Action,Historical Fiction,13.7,2006.0,1.0,1.0,2.0,20.0,2.7,1,-13656694.0,-14125795.0,0.0382609859154929,0.0052257042253521,11.214600288419966,13.20542981668264,16.468752592994022,9.62364136585212,1.0986122886681098,3.044522437723423,,,
Pretty Woman,1990-03-23,14000000,178406268,432566361,178406268.0,254160093.0,432566361.0,11280591.0,14.3,455739225.0,R,119.0,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,41.2,1990.0,3.0,1.0,1325.0,1811.0,19.6,0,418566361.0,164406268.0,30.89759721428571,12.743304857142856,18.999573917627313,19.885246310716067,16.454567959008102,16.238594284926545,7.189922170745808,7.502186486602924,tt0100405,7.1,"401,452"
Fatal Attraction,1987-09-18,14000000,156645693,320099997,156645693.0,163454304.0,320099997.0,7602740.0,14.84,429315548.0,R,120.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,48.9,1987.0,9.0,3.0,758.0,1401.0,20.5,0,306099997.0,142645693.0,22.8642855,11.188978071428572,18.86949708695403,19.58414399869205,16.454567959008102,15.844019398129872,6.63200177739563,7.245655067594536,tt0093010,6.9,"109,013"
Slumdog Millionaire,2008-11-12,14000000,141330703,383825427,141330703.0,242494724.0,383825427.0,360018.0,11.75,204976332.0,R,116.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,36.8,2008.0,11.0,4.0,10.0,2943.0,9.2,0,369825427.0,127330703.0,27.41610192857143,10.095050214285717,18.76661312058149,19.76569839260013,16.454567959008102,12.793912086817372,2.3978952727983707,7.987524479848767,tt1010048,8.0,"907,124"
Towering Inferno,1974-12-17,14000000,116000000,139700000,116000000.0,23700000.0,139700000.0,2323621.0,49.92,47104601.0,PG,165.0,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,83.0,1974.0,12.0,4.0,295.0,295.0,1.0,0,125700000.0,102000000.0,9.978571428571428,8.285714285714286,18.569100757691327,18.755007831385388,16.454567959008102,14.658637733122486,5.69035945432406,5.69035945432406,tt0072308,7.0,"52,240"
Crocodile Dundee 2,1988-05-25,14000000,109306210,239606210,109306210.0,130300000.0,239606210.0,24462976.0,4.47,286696084.0,PG,108.0,Original Screenplay,Action,Live Action,Contemporary Fiction,45.6,1988.0,5.0,2.0,2837.0,2837.0,6.3,1,225606210.0,95306210.0,17.114729285714287,7.807586428571429,18.50966377678387,19.29450734624021,16.454567959008102,17.01267138972988,7.950854857719988,7.950854857719988,,,
Cool Runnings,1993-10-01,14000000,68856263,155008909,68856263.0,86152646.0,155008909.0,7046648.0,8.08,179529495.0,PG,97.0,Based on Real Life Events,Comedy,Live Action,Contemporary Fiction,44.4,1993.0,10.0,4.0,1387.0,1832.0,8.6,0,141008909.0,54856263.0,11.072064928571429,4.9183045,18.04753175939263,18.85899315710235,16.454567959008102,15.76806274263956,7.23561914106675,7.513709247839705,tt0106611,7.0,"122,391"
Stomp the Yard,2007-01-12,14000000,61356221,75525718,61356221.0,14169497.0,75525718.0,21833312.0,2.81,96136633.0,PG-13,116.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,81.2,2007.0,1.0,1.0,2051.0,2169.0,5.5,1,61525718.0,47356221.0,5.394694142857142,4.3825872142857145,17.932207142071636,18.139983805218176,16.454567959008102,16.898947480639226,7.62657020629066,7.682482446534506,tt0775539,5.4,"26,653"
My Bloody Valentine,2009-01-16,14000000,51545952,102836002,51545952.0,51290050.0,102836002.0,21241456.0,2.43,74088709.0,R,101.0,Remake,Horror,Live Action,Contemporary Fiction,50.1,2009.0,1.0,1.0,2534.0,2534.0,3.2,0,88836002.0,37545952.0,7.345428714285714,3.6818537142857144,17.757984259040903,18.44864607340673,16.454567959008102,16.871465348972166,7.837948916025283,7.837948916025283,tt1179891,5.4,"63,506"
The Possession,2012-08-31,14000000,49130588,82925064,49130588.0,33794476.0,82925064.0,17732480.0,2.77,66536144.0,PG-13,93.0,Original Screenplay,Horror,Live Action,Fantasy,59.2,2012.0,8.0,3.0,2816.0,2860.0,5.1,0,68925064.0,35130588.0,5.9232188571428575,3.5093277142857144,17.709992392674636,18.233447926637904,16.454567959008102,16.690908600578883,7.943427767876373,7.95892649305011,tt0431021,5.9,"65,022"
First Blood,1982-10-22,14000000,47212904,125212904,47212904.0,78000000.0,125212904.0,6642005.0,7.11,172130017.0,R,107.0,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,37.7,1982.0,10.0,4.0,901.0,1047.0,10.3,1,111212904.0,33212904.0,8.943778857142858,3.3723502857142855,17.670177824202753,18.645526086398274,16.454567959008102,15.708924584260789,6.804614520062624,6.954638864880987,tt0083944,7.7,"299,053"
The Spy Who Loved Me,1977-07-13,14000000,46800000,185400000,46800000.0,138600000.0,185400000.0,1347927.0,34.72,226234977.0,PG,125.0,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,25.2,1977.0,7.0,3.0,194.0,194.0,1.0,1,171400000.0,32800000.0,13.242857142857142,3.342857142857143,17.661393782255395,19.038026216489772,16.454567959008102,14.114079156564983,5.272999558563747,5.272999558563747,tt0076752,7.0,"123,115"
Breakthrough,2019-04-12,14000000,40713082,49231674,40713082.0,8518592.0,49231674.0,11282333.0,3.61,47913424.0,PG,116.0,Based on Factual Book/Article,Drama,Live Action,Dramatization,82.7,2019.0,4.0,2.0,2824.0,2913.0,4.5,0,35231674.0,26713082.0,3.516548142857143,2.9080772857142856,17.522060048390408,17.712047775124706,16.454567959008102,16.23874869752387,7.946263643580541,7.97728198675515,tt7083526,6.3,"11,613"
Urban Legend,1998-09-25,14000000,38116707,72571864,38116707.0,34455157.0,72571864.0,10515444.0,3.62,87577766.0,R,100.0,Original Screenplay,Horror,Live Action,Contemporary Fiction,52.5,1998.0,9.0,3.0,2257.0,2257.0,6.5,1,58571864.0,24116707.0,5.183704571428572,2.7226219285714284,17.4561632741544,18.10008787024889,16.454567959008102,16.16835568671798,7.722234744709607,7.722234744709607,tt0146336,5.6,"77,244"
Tyler Perry's Good Deeds,2012-02-24,14000000,35025791,35579177,35025791.0,553386.0,35579177.0,15583924.0,2.25,47434426.0,PG-13,111.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,98.4,2012.0,2.0,1.0,2132.0,2132.0,4.0,0,21579177.0,21025791.0,2.5413697857142856,2.5018422142857144,17.371595262351388,17.387271137068307,16.454567959008102,16.561750492224537,7.665284718471351,7.665284718471351,tt2736560,N/A,N/A
Jojo Rabbit,2019-10-18,14000000,33370906,86878073,33370906.0,53507167.0,86878073.0,349555.0,8.44,39242509.0,PG-13,108.0,Original Screenplay,Black Comedy,Live Action,Historical Fiction,38.4,2019.0,10.0,4.0,5.0,1173.0,9.6,0,72878073.0,19370906.0,6.205576642857143,2.383636142857142,17.323195030460074,18.28001624539589,16.454567959008102,12.764419056719149,1.791759469228055,7.068172000388042,tt2584384,7.9,"483,917"
