movie_name,release_date,production_budget_usd,domestic_gross_usd,worldwide_gross_usd,domestic_box_office_usd,international_box_office_usd,worldwide_box_office_usd,opening_weekend_usd,legs,infl_adj_dom_bo_usd,mpaa_rating,running_time_minutes,source,genre,production_method,creative_type,domestic_share_percentage,release_year,release_month,release_quarter,opening_theaters,max_theaters,avg_weeks_per_theater,is_franchise,profit_worldwide,profit_domestic,roi_worldwide,roi_domestic,log_domestic_box_office,log_worldwide_box_office,log_budget,log_opening_weekend,log_opening_theaters,log_max_theaters,imdb_id,imdb_rating,imdb_votes
Hedwig and the Angry Inch,2001-07-20,6000000,3067312,3735131,3067312.0,667819.0,3735131.0,156724.0,10.72,5841973.0,R,95.0,Based on Musical or Opera,Musical,Live Action,Contemporary Fiction,82.1,2001.0,7.0,3.0,9.0,101.0,6.7,0,-2264869.0,-2932688.0,0.6225218333333333,0.5112186666666667,14.936312492013773,15.133293717290025,15.607270193858982,11.96224795614217,2.302585092994046,4.624972813284271,tt0248845,7.7,"38,305"
Shattered Glass,2003-10-31,6000000,2207975,3456602,2207975.0,1248627.0,3456602.0,77540.0,5.7,3941912.0,PG-13,94.0,Based on Real Life Events,Drama,Live Action,Dramatization,63.9,2003.0,10.0,4.0,8.0,215.0,4.6,0,-2543398.0,-3792025.0,0.5761003333333333,0.3679958333333333,14.607586816754832,15.05579687285303,15.607270193858982,11.258562107711272,2.1972245773362196,5.375278407684165,tt0323944,7.1,"39,535"
The Father,2020-12-25,6000000,2120992,36427155,2120992.0,34306163.0,36427155.0,433611.0,4.89,2248201.0,PG-13,97.0,Based on Play,Drama,Live Action,Contemporary Fiction,5.8,2020.0,12.0,4.0,865.0,933.0,5.5,0,30427155.0,-3879008.0,6.0711925,0.3534986666666667,14.56739493321134,17.410825098410555,15.607270193858982,12.979905404001371,6.763884908562435,6.839476438228843,tt10272386,8.2,"240,885"
The Wackness,2008-07-03,6000000,2077046,3330012,2077046.0,1252966.0,3330012.0,138401.0,8.92,3118460.0,R,95.0,Original Screenplay,Comedy,Live Action,Historical Fiction,62.4,2008.0,7.0,3.0,6.0,142.0,5.6,0,-2669988.0,-3922954.0,0.555002,0.3461743333333333,14.546457731393748,15.018486765852913,15.607270193858982,11.837917772928346,1.9459101490553132,4.962844630259907,tt1082886,6.9,"31,415"
Novocaine,2001-11-16,6000000,2025238,2522928,2025238.0,497690.0,2522928.0,418098.0,4.84,3857246.0,R,95.0,Original Screenplay,Comedy,Live Action,Contemporary Fiction,80.3,2001.0,11.0,4.0,105.0,189.0,5.8,0,-3477072.0,-3974762.0,0.420488,0.3375396666666667,14.521198276249768,14.740931086125364,15.607270193858982,12.943473525569493,4.663439094112067,5.247024072160486,tt0234354,5.8,"12,253"
Snow Flower and the Secret Fan,2011-07-15,6000000,1348205,11348205,1348205.0,10000000.0,11348205.0,134005.0,6.73,1832740.0,PG-13,102.0,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,11.9,2011.0,7.0,3.0,24.0,116.0,4.2,0,5348205.0,-4651795.0,1.8913675,0.2247008333333333,14.114285377769855,16.244570227724616,15.607270193858982,11.80563985405003,3.218875824868201,4.762173934797756,tt1541995,6.1,"4,073"
Mandy,2018-09-14,6000000,1233694,1480281,1233694.0,246587.0,1480281.0,225723.0,5.47,1459666.0,Not Rated,121.0,Original Screenplay,Thriller/Suspense,Live Action,Historical Fiction,83.3,2018.0,9.0,3.0,75.0,250.0,1.2,0,-4519719.0,-4766306.0,0.2467135,0.2056156666666666,14.02552428920219,14.207743168130294,15.607270193858982,12.327068292996412,4.330733340286331,5.5254529391317835,tt6998518,6.5,"97,411"
The Business of Strangers,2001-12-07,6000000,1030920,1290920,1030920.0,260000.0,1290920.0,71821.0,7.27,1951277.0,R,107.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,79.9,2001.0,12.0,4.0,8.0,60.0,5.8,0,-4709080.0,-4969080.0,0.2151533333333333,0.17182,13.845963135427004,14.070866475082678,15.607270193858982,11.18194611478861,2.1972245773362196,4.110873864173311,tt0270259,6.3,"3,849"
Jûsan-nin no shikaku,2011-04-29,6000000,802778,18727440,802778.0,17924662.0,18727440.0,45854.0,9.74,1091292.0,R,125.0,Remake,Action,Live Action,Historical Fiction,4.3,2011.0,4.0,2.0,4.0,31.0,8.8,0,12727440.0,-5197222.0,3.12124,0.1337963333333333,13.59583473711674,16.74550043935201,15.607270193858982,10.733239522993044,1.6094379124341005,3.4657359027997265,,,
Under sandet,2015-12-03,6000000,434640,4959039,434640.0,4524399.0,4959039.0,13754.0,7.13,522334.0,R,101.0,Original Screenplay,Thriller/Suspense,Live Action,Dramatization,8.8,2015.0,12.0,4.0,3.0,40.0,6.8,0,-1040961.0,-5565360.0,0.8265065,0.07244,12.982275681977406,15.416722731581109,15.607270193858982,9.529157673358675,1.3862943611198906,3.713572066704308,,,
Morvern Callar,2002-11-01,6000000,267194,755861,267194.0,488667.0,755861.0,13836.0,18.31,481467.0,R,97.0,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,35.3,2002.0,11.0,4.0,3.0,8.0,12.9,0,-5244139.0,-5732806.0,0.1259768333333333,0.0445323333333333,12.495734007894695,13.535614098816737,15.607270193858982,9.535101442669385,1.3862943611198906,2.1972245773362196,tt0300214,6.8,"11,607"
Akmareul Boatda (악마를 보았다),2011-03-04,6000000,129210,13168809,129210.0,13039599.0,13168809.0,13567.0,7.45,175639.0,Not Rated,143.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,1.0,2011.0,3.0,1.0,2.0,15.0,3.9,0,7168809.0,-5870790.0,2.1948015,0.021535,11.769202006025376,16.39336171276536,15.607270193858982,9.515469358031684,1.0986122886681098,2.772588722239781,,,
The Greatest,2010-04-02,6000000,115862,117796,115862.0,1934.0,117796.0,33616.0,3.12,158294.0,R,98.0,Original Screenplay,Drama,Live Action,Contemporary Fiction,98.4,2010.0,4.0,2.0,8.0,19.0,2.1,0,-5882204.0,-5884138.0,0.0196326666666666,0.0193103333333333,11.660163737634912,11.676718082982298,15.607270193858982,10.4227871703815,2.1972245773362196,2.995732273553991,tt2955246,6.9,205
Deadfall,2012-11-09,6000000,66351,1673635,66351.0,1607284.0,1673635.0,19391.0,3.42,89765.0,R,94.0,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,4.0,2012.0,11.0,4.0,11.0,17.0,2.9,0,-4326365.0,-5933649.0,0.2789391666666667,0.0110585,11.102729182486163,14.330509063137644,15.607270193858982,9.87261588886904,2.4849066497880004,2.8903717578961645,tt1667310,6.2,"42,161"
Julia,2009-05-08,6000000,65108,1365108,65108.0,1300000.0,1365108.0,12524.0,5.2,93581.0,Not Rated,107.0,Unknown,Thriller/Suspense,Live Action,Contemporary Fiction,4.8,2009.0,5.0,2.0,3.0,4.0,7.5,0,-4634892.0,-5934892.0,0.227518,0.0108513333333333,11.083818067489096,14.12674483689293,15.607270193858982,9.435481925953065,1.3862943611198906,1.6094379124341005,tt1365472,6.0,23
